Name,Distributor,Opening,Budget,Release Date,Running Time,Genres,Widest Release
The Favourite,Fox Searchlight Pictures,4224104,0,No release date,1 hr 59 min,Biography,1554 theaters
Bombshell,Lionsgate,3191574,0,No release date,1 hr 49 min,Biography,1721 theaters
Richard Jewell,Warner Bros.,47052652502,0,Dec 13  2019  Feb 6  2020,2 hr 11 min,Biography,2502 theaters
Charlie's Angels,Sony Pictures Releasing,83511093452,48000000,Nov 15  2019,1 hr 58 min,Action,3452 theaters
The Farewell,A24,3556624,0,No release date,1 hr 40 min,Comedy,891 theaters
Brightburn,Screen Gems,78456582607,6000000,May 24  2019  Jun 27  2019,1 hr 30 min,Drama,2607 theaters
The Good Liar,Warner Bros.,56050512439,10000000,Nov 15  2019  Jan 16  2020,1 hr 49 min,Crime,2454 theaters
The Kid Who Would Be King,Twentieth Century Fox,71738873521,0,Jan 25  2019  Apr 4  2019,2 hr,Action,3528 theaters
Missing Link,United Artists Releasing,59449503413,0,Apr 12  2019  Jul 11  2019,1 hr 33 min,Adventure,3437 theaters
Second Act,STX Entertainment,64899832607,16000000,Dec 21  2018  Feb 21  2019,1 hr 43 min,Comedy,2607 theaters
Late Night,Amazon Studios,2463054,0,No release date,1 hr 42 min,Comedy,2220 theaters
Miss Bala,Sony Pictures Releasing,68647442203,15000000,Feb 1  2019  Mar 21  2019,1 hr 44 min,Action,2203 theaters
The Prodigy,Orion Pictures,58530612530,6000000,Feb 8  2019  Apr 11  2019,1 hr 32 min,Horror,2530 theaters
A Star Is Born,Warner Bros.,429080513686,36000000,Oct 5  2018  Apr 4  2019,2 hr 16 min,Drama,3904 theaters
Poms,STX Entertainment,53619372750,0,May 10  2019  Jun 20  2019,1 hr 30 min,Comedy,2750 theaters
If Beale Street Could Talk,Annapurna Pictures,2244764,0,No release date,1 hr 59 min,Drama,1018 theaters
They Shall Not Grow Old,Warner Bros.,0,0,Dec 17  2018  May 9  2019,1 hr 39 min,Documentary,1335 theaters
The Kitchen,Warner Bros.,55274102745,38000000,Aug 9  2019  Oct 3  2019,1 hr 42 min,Action,2745 theaters
After,Aviron Pictures,60023492138,14000000,Apr 12  2019  Jun 6  2019,1 hr 45 min,Drama,2138 theaters
Blinded by the Light,Warner Bros.,43333052307,0,Aug 16  2019  Oct 10  2019,1 hr 58 min,Comedy,2307 theaters
The Lighthouse,A24,4277978,0,No release date,1 hr 49 min,Drama,978 theaters
Dark Waters,Focus Features,1026064,0,No release date,2 hr 6 min,Biography,2112 theaters
Greta,Focus Features,44819102411,0,Mar 1  2019  Apr 4  2019,1 hr 38 min,Drama,2417 theaters
The Best of Enemies,STX Entertainment,44461901705,10000000,Apr 5  2019  May 16  2019,2 hr 13 min,Biography,1705 theaters
Black Christmas,Universal Pictures,42402452625,5000000,Dec 13  2019,1 hr 32 min,Horror,2625 theaters
Hotel Mumbai,Bleecker Street Media,880654,0,No release date,2 hr 3 min,Action,930 theaters
Holmes & Watson,Sony Pictures Releasing,74115222776,42000000,Dec 25  2018  Feb 21  2019,1 hr 30 min,Comedy,2780 theaters
Motherless Brooklyn,Warner Bros.,35004541342,26000000,Nov 1  2019  Dec 19  2019,2 hr 24 min,Crime,1342 theaters
