,Name,Distributor,Opening,Budget,Release Date,Running Time,Genres,Widest Release
102,Honey Boy,Amazon Studios,"$301,0654",,"['Nov 8, 2019']",1 hr 34 min,['Drama'],460 theaters
103,Waves,A24,"$134,3334",,"['Nov 15, 2019']",2 hr 15 min,"['Drama', 'Romance', 'Sport']",570 theaters
104,Varda by Agnès,Janus Films,"$12,3902",,"['Nov 22, 2019']",1 hr 55 min,"['Biography', 'Documentary']",10 theaters
105,A Simple Wedding,Blue Fox Entertainment,"$21,79410",,"['Feb 14, 2020']",1 hr 28 min,"['Comedy', 'Romance']",10 theaters
106,Corpus Christi,Film Movement,"$4,6321",,"['Feb 14, 2020']",1 hr 55 min,['Drama'],13 theaters
107,The Wonderland,Eleven Arts,"$1,3201",,"['Jan 20, 2020']",1 hr 56 min,"['Adventure', 'Animation', 'Family', 'Fantasy']",143 theaters
108,VHYes,Oscilloscope,,,"['Jan 17, 2020']",1 hr 12 min,['Comedy'],23 theaters
109,Charlie's Angels,Sony Pictures Releasing,"$8,351,1093,452","$48,000,000","['Nov 15, 2019']",1 hr 58 min,"['Action', 'Adventure', 'Comedy']","3,452 theaters"
110,Enter the Fat Dragon,Well Go USA Entertainment,"$22,19311",,"['Feb 14, 2020']",1 hr 36 min,"['Action', 'Comedy']",11 theaters
111,Doctor Sleep,Warner Bros.,"$14,114,1243,855",,"['Nov 8, 2019', 'Jan 9, 2020']",2 hr 32 min,"['Drama', 'Fantasy', 'Horror', 'Thriller']","3,855 theaters"
112,The White Sheik,Rialto Pictures,"$5,5621",,"['Dec 25, 2019']",1 hr 26 min,"['Comedy', 'Drama']",3 theaters
113,Come and See,Janus Films,"$16,0532",,"['Feb 21, 2020']",2 hr 22 min,"['Drama', 'War']",2 theaters
114,Abominable,Universal Pictures,"$20,612,1004,242","$75,000,000","['Sep 27, 2019', 'Jan 2, 2020']",1 hr 37 min,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']","4,248 theaters"
115,Three Christs,IFC Films,,,"['Jan 3, 2020']",1 hr 49 min,['Drama'],31 theaters
116,Last Christmas,Universal Pictures,"$11,441,0553,448","$25,000,000","['Nov 8, 2019', 'Jan 2, 2020']",1 hr 43 min,"['Comedy', 'Drama', 'Romance']","3,454 theaters"
117,After Parkland,Kino Lorber,,,"['Feb 12, 2020']",1 hr 32 min,['Documentary'],71 theaters
118,Play the Flute,Five & Two Pictures,,,"['Jan 28, 2019']",1 hr 43 min,['Drama'],11 theaters
119,Buffaloed,Magnolia Pictures,"$13,7969",,"['Feb 14, 2020']",1 hr 35 min,"['Comedy', 'Drama']",9 theaters
120,Olympic Dreams,IFC Films,"$9,2904",,"['Feb 14, 2020']",1 hr 25 min,"['Comedy', 'Romance', 'Sport']",35 theaters
121,Wendy,Fox Searchlight Pictures,"$26,2144",,"['Feb 28, 2020']",1 hr 52 min,"['Drama', 'Fantasy']",4 theaters
122,Countdown,STX Entertainment,"$8,865,0822,675","$6,500,000","['Oct 25, 2019', 'Jan 9, 2020']",1 hr 30 min,"['Horror', 'Thriller']","2,675 theaters"
123,Midnight Family,1091 Media,"$3,0301",,"['Dec 6, 2019']",1 hr 21 min,"['Action', 'Crime', 'Documentary', 'Drama']",13 theaters
124,José,Outsider Pictures,"$11,1911",,"['Jan 31, 2020']",1 hr 25 min,['Drama'],2 theaters
125,Synonyms,Kino Lorber,"$17,8912",,"['Oct 25, 2019']",2 hr 3 min,"['Comedy', 'Drama']",13 theaters
126,Promare,GKIDS,"$109,08554",,"['Sep 17, 2019']",1 hr 51 min,"['Action', 'Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Sci-Fi', 'Thriller']",701 theaters
127,Burden,101 Studios,"$20,1605",,"['Feb 28, 2020']",1 hr 57 min,['Drama'],5 theaters
128,Greed,Sony Pictures Classics,"$24,1634",,"['Feb 28, 2020']",1 hr 44 min,"['Comedy', 'Drama']",4 theaters
129,Cane River,Oscilloscope,,,"['Feb 7, 2020']",1 hr 44 min,"['Drama', 'Romance']",5 theaters
130,Branagh Theatre Live: The Winter's Tale,Trafalgar Releasing,"$34,38092",,"['Dec 4, 2019']",3 hr,['Drama'],106 theaters
131,Tread,Gravitas Ventures,"$10,58513",,"['Feb 21, 2020']",1 hr 29 min,['Documentary'],25 theaters
132,Zombi Child,Film Movement,"$6,0513",,"['Jan 24, 2020']",1 hr 43 min,['Fantasy'],39 theaters
133,L'Innocente,Film Movement,"$7,1911",,"['Feb 14, 2020']",2 hr 9 min,"['Drama', 'Romance']",2 theaters
134,Les Misérables: The Staged Concert,Trafalgar Releasing,"$192,034392",,"['Dec 6, 2019']",2 hr 50 min,['Musical'],488 theaters
135,The Cordillera of Dreams,Icarus Films,"$4,4462",,"['Feb 12, 2020']",1 hr 24 min,['Documentary'],8 theaters
