Name,Distributor,Opening,Budget,Release Date,Running Time,Genres,Widest Release
Jay and Silent Bob Reboot,Saban Films,935201,0,Oct,1 hr 45 min,Comedy,788
At Eternity's Gate,CBS Films,928564,0,Nov,1 hr 51 min,Biography,178
The Hole in the Ground,A24,903024,0,Mar,1 hr 30 min,Drama,24
Shoplifters,Magnolia Pictures,892645,0,Nov,2 hr 1 min,Crime,144
Hotel Mumbai,Bleecker Street Media,880654,0,No,2 hr 3 min,Action,930
Piercing,Greenwich Entertainment,875218,0,Feb,1 hr 21 min,Horror,18
Screwball,Greenwich Entertainment,859513,0,Mar,1 hr 45 min,Documentary,13
Ben Is Back,Roadside Attractions,807344,0,Dec,1 hr 43 min,Drama,598
The White Crow,Sony Pictures Classics,787825,0,Apr,2 hr 7 min,Biography,365
The Souvenir,A24,784004,0,May,2 hr,Drama,145
Stan & Ollie,Sony Pictures Classics,781045,0,No,1 hr 38 min,Biography,754
Border,Neon,737007,0,Oct,1 hr 50 min,Crime,74
The Mustang,Focus Features,716574,0,Mar,1 hr 36 min,Drama,527
Everybody Knows,Focus Features,712074,0,Feb,2 hr 13 min,Crime,283
Portrait of a Lady on Fire,Neon,673442,0,Dec,2 hr 2 min,Drama,268
In Like Flynn,Blue Fox Entertainment,664627,0,Jan,1 hr 46 min,Action,27
Official Secrets,IFC Films,649654,0,Aug,1 hr 52 min,Biography,485
A Private War,Aviron Pictures,604914,0,No,1 hr 50 min,Biography,865
Hagazussa,Doppelganger Releasing,604111,0,Apr,1 hr 42 min,Drama,14
Triple Threat,Well Go USA Entertainment,593612,0,Mar,1 hr 36 min,Action,12
Amazing Grace,Neon,573533,0,Dec,1 hr 29 min,Documentary,263
The Aftermath,Fox Searchlight Pictures,564195,0,Mar,1 hr 48 min,Drama,344
Destroyer,Annapurna Pictures,553473,0,Dec,2 hr 1 min,Action,235
Cold War,Amazon Studios,543533,0,Dec,1 hr 29 min,Drama,270
The Dead Center,Arrow Films,532510,0,Oct,1 hr 32 min,Horror,10
Wild Rose,Neon,529384,0,Jun,1 hr 41 min,Comedy,195
Anna and the Apocalypse,Orion Pictures,525885,0,Nov,1 hr 33 min,Comedy,138
Arctic,Bleecker Street Media,508784,0,Feb,1 hr 38 min,Adventure,268
A Hidden Life,Fox Searchlight Pictures,503835,0,Dec,2 hr 54 min,Biography,151
After the Wedding,Sony Pictures Classics,502645,0,Aug,1 hr 52 min,Drama,428
Monos,Neon,498435,0,Sep,1 hr 42 min,Adventure,50
Toni Morrison: The Pieces I Am,Magnolia Pictures,480504,0,Jun,2 hr,Documentary,78
Mayday Life,China Lion Film Distribution,477698,0,May,1 hr 52 min,Music,11
Maiden,Sony Pictures Classics,469316,0,Jun,1 hr 37 min,Documentary,180
The Iron Orchard,Santa Rita Film Co,458638,0,Feb,1 hr 52 min,Drama,42
No Safe Spaces,Atlas Distribution Company,452361,0,Oct,1 hr 40 min,Documentary,200
Ash Is Purest White,Cohen Media Group,451507,0,Mar,2 hr 16 min,Crime,49
Marianne & Leonard: Words of Love,Roadside Attractions,449424,0,Jul,1 hr 42 min,Biography,101
All Is True,Sony Pictures Classics,442114,0,May,1 hr 41 min,Biography,328
Teen Spirit,Bleecker Street Media,436204,0,No,1 hr 33 min,Drama,696
